id,set,word,definition
1,1,chronological,"arranged in order of time that somthing occured"
2,1,lofty,"the attitide of being superior to others"
3,1,unanimous,"being in agreement; united in an opiniom"
4,1,recount,"to tell in detail"
5,1,benefit,"to receive help or an advantage"
6,1,efficient,"producing desired results without wasting time or energy"
7,1,loathe,"to dislike greatly; to hate"
8,1,evade,"to get away; escape"
9,1,haste,"the act of moving hurriedly and in a careless manner"
10,1,pulverize,"to demolish or destroy"
11,1,reminisce,"to think about past experiences"
12,1,boycott,"refusing to buy or engage the services of an organization or person"
13,1,consecutive,"following in order"
14,1,sabotage,"to destroy or hinder"
15,1,emit,"to release or discharge something"
16,1,commotion,"a motion that is the result of confusion and disorder"
17,1,stern,"expressive of severe displeasure"
18,1,laconic,"using very few words"
19,1,diminish,"to make less or cause to appear less"
20,1,appease,"to bring to a state of calm; to soothe"
21,2,evaluate,"to determine the value or worth of"
22,2,impair,"to damage or make worse in order to make smaller or less or weaker"
23,2,distinguish,"to tell apart by seeing differences"
24,2,inevitable,"impossible to avoid"
25,2,recoil,"to fall back under pressure (emotionally or physically)"
26,2,urgent,"needing immediate action or attention"
27,2,extensive,"reaching very far"
28,2,glum,"in low spirits; sad or gloomy"
29,2,plummet,"to drop sharply or abruptly"
30,2,rummage,"to thoroughly search"
31,2,wither,"to shrivel and shrink"
32,2,abrasive,"causing damage, wear, or removal of surface material by grinding or rubbing"
33,2,versatile,"able to do many different kinds of things"
34,2,vociferous,"to make a noisy outcry"
35,2,ravenous,"extremely hungry"
36,2,obsessive,"fixated to an unreasonable amount"
37,2,ordeal,"an experience that is very painful, difficult, or tiring"
38,2,inundate,"to overwhelm"
39,2,junket,"a trip ot rour"
40,2,unruly,"lacking in restraint or order"
41,3,affable,"easy and pleasant to speak with"
42,3,aloof,"distant physically or emotionally"
43,3,colossal,"immense or huge"
44,3,dawdle,"to move slowly and aimlessly"
45,3,famish,"be hungry"
46,3,impediment,"something that slows or blocks progress"
47,3,mandatory,"required"
48,3,pretentious,"trying to appear more important or more valuable"
49,3,erroneous,"mistakes or containing errors"
50,3,belligerent,"hostile and aggressive"
51,3,cajole,"to persuade by flattery or false promises"
52,3,superfluous,"going beyond what is sufficient and necessary"
53,3,trickle,"to flow little by little"
54,3,zeal,"dedication or enthusiasm for something"
55,3,vacillate,"to be unable or hesitant to choose"
56,3,dissuade,"to persuade or advise not to do something"
57,3,endorsement,"to have or express a favorable opinion of"
58,3,durable,"able to last a long time"
59,3,dolorous,"causing or expressing sorrow"
60,3,insulate,"to protect from heat, cold, or noise"
61,4,vindicate,"to clear of suspicion, blame, or doubt"
62,4,winsome,"charming"
63,4,zealot,"one who shows excessive and passionate eagerness"
64,4,nurture,"to nourish or take care of"
65,4,opposite,"pairs that contradict"
66,4,nemesis,"a rival or opponent"
67,4,facade,"a deceptive outward appearance"
68,4,equilibrium,"a state of balance"
69,4,lament,"to express sorrow"
70,4,malice,"the intention to cause harm"
71,4,cite,"to quote a (passage, book, author, etc.)"
72,4,decadent,"luxurious or extravagant"
73,4,dyansty,"a succession of rulers from the same family"
74,4,diffident,"lacking self-confidence"
75,4,mediocre,"moderate or low degree of quality"
76,4,paradox,"is a self-contradictory statement or argument that may contain a truth"
77,4,perforate,"to make a whole through"
78,4,petulant,"rude in speech or behavior"
79,4,hostility,"conflict or resistance in thought or action"
80,4,increment,"a small increase in number or size"
81,5,innocuous,"harmless"
82,5,insinuate,"to suggest indirectly; imply"
83,5,forfeit,"to lose; give up"
84,5,generous,"to act in a giving or tolerant manner"
85,5,heterogeneous,"made of parts that differ from one another"
86,5,homogenous,"made of parts that are the same as one another"
87,5,candor,"sincere and honest"
88,5,apathy,"lack of feeling or interest"
89,5,arrogance,"having or showing too much pride"
90,5,qualm,"a feeling of doubt or uneasiness"
91,5,raucous,"loud; behaving in a noisy or disorderly way"
92,5,satchel,"a small bag often with a shoulder strap"
93,5,taciturn,"tending to not speak"
94,5,solitude,"being alone"
95,5,threshold,"a point of departure or transition"
96,5,spacious,"large or vast in size or capacity"
97,5,longevity,"long life"
98,5,mitigate,"something that lessen the unpleasantness of a situation"
99,5,allege,"to assert without proof"
100,5,amend,"to change or improve"
101,6,adhere,"to stick"
102,6,vulnerable,"weak or without protection"
103,6,transient,"passing through; brief"
104,6,rendezvous,"a meeting with a specific location"
105,6,reliable,"capable of being trusted"
106,6,prudent,"to show good judgement"
107,6,levity,"lacking seriousness; foolish behavior or attitude"
108,6,illuminate,"to brighten"
109,6,glimpse,"to take a brief look"
110,6,fiasco,"a complete failure"
111,6,euphoric,"a strong feeling or happiness"
112,6,agenda,"list of items to be discussed (usually at a meeting)"
113,6,adequate,"good enough"
114,6,pariah,"a person rejected by others; an outcast"
115,6,overt,"easily seen"
116,6,prolific,"highly productive"
117,6,occasionally,"from time to time"
118,6,lenient,"to be kind and patient"
119,6,detour,"a less direct way to get somewhere"
120,6,surplus,"more than what is required or necessary"
